,AAPL,AMZN,GOOGL,META,MSFT
AAPL,1.0,0.600750886357606,0.6457873384061068,0.5365035107358618,0.731363911076631
AMZN,0.600750886357606,1.0,0.6589573669932933,0.6009763629491605,0.696075240525833
GOOGL,0.6457873384061068,0.6589573669932933,1.0,0.6288887992917802,0.7484704770285191
META,0.5365035107358618,0.6009763629491605,0.6288887992917802,1.0,0.6012339276672649
MSFT,0.731363911076631,0.696075240525833,0.7484704770285191,0.6012339276672649,1.0
