Date,AAPL,AMZN,GOOGL,META,MSFT
2018-01-02,40.34189987182617,59.45050048828125,53.292938232421875,180.30845642089844,79.05036926269531
2018-01-03,40.33486557006836,60.209999084472656,54.20216369628906,183.5385284423828,79.41825866699219
2018-01-04,40.522216796875,60.47949981689453,54.41270446777344,183.2006072998047,80.11726379394531
2018-01-05,40.983577728271484,61.457000732421875,55.13423538208008,185.70518493652344,81.11054229736328
2018-01-08,40.83134460449219,62.34349822998047,55.328887939453125,187.1264190673828,81.1933364868164
2018-01-09,40.82666778564453,62.6349983215332,55.25838088989258,186.7189178466797,81.1381607055664
2018-01-10,40.817291259765625,62.71649932861328,55.12678527832031,186.68910217285156,80.770263671875
2018-01-11,41.04914093017578,63.83399963378906,55.22163009643555,186.6195526123047,81.00941467285156
2018-01-12,41.4730339050293,65.26000213623047,56.145263671875,178.27099609375,82.40739440917969
2018-01-16,41.26226043701172,65.24299621582031,56.147743225097656,177.29702758789062,81.25770568847656
2018-01-17,41.943763732910156,64.75,56.56487274169922,176.51185607910156,82.9040298461914
2018-01-18,41.981224060058594,64.66600036621094,56.40943908691406,178.69834899902344,82.86724090576172
2018-01-19,41.79388427734375,64.72899627685547,56.78335952758789,180.17922973632812,82.77525329589844
2018-01-22,41.451961517333984,66.3655014038086,57.809288024902344,184.2342529296875,84.25603485107422
2018-01-23,41.4613151550293,68.12699890136719,58.405670166015625,188.1898651123047,84.52274322509766
2018-01-24,40.8009033203125,67.87550354003906,58.16334533691406,185.40701293945312,84.44917297363281
2018-01-25,40.072574615478516,68.89749908447266,58.702125549316406,186.33132934570312,84.9182357788086
2018-01-26,40.16625213623047,70.10250091552734,58.97127151489258,188.8358612060547,86.50933837890625
2018-01-29,39.334861755371094,70.88400268554688,58.91764450073242,184.8404998779297,86.38057708740234
2018-01-30,39.102996826171875,71.89099884033203,58.46525955200195,185.97352600097656,85.29531860351562
2018-01-31,39.21074676513672,72.54450225830078,58.70609664916992,185.74493408203125,87.3830795288086
2018-02-01,39.29270935058594,69.5,58.67481231689453,191.90695190429688,86.69329071044922
2018-02-02,37.58779525756836,71.49749755859375,55.576683044433594,189.11416625976562,84.4123764038086
2018-02-05,36.648685455322266,69.5,52.755638122558594,180.14942932128906,80.9358139038086
2018-02-06,38.18029022216797,72.14199829101562,53.85009002685547,184.17462158203125,83.99850463867188
2018-02-07,37.36296844482422,70.83899688720703,52.409027099609375,179.07601928710938,82.41657257080078
2018-02-08,36.33486557006836,67.5250015258789,50.04037094116211,170.5287322998047,78.18583679199219
2018-02-09,36.77928924560547,66.9800033569336,51.95515823364258,175.03097534179688,81.10138702392578
2018-02-12,38.260719299316406,69.3115005493164,52.3668212890625,175.3291473388672,81.97510528564453
2018-02-13,38.64400863647461,70.72550201416016,52.34596633911133,172.089111328125,82.61891174316406
2018-02-14,39.356510162353516,72.55249786376953,53.267601013183594,178.42010498046875,83.91255950927734
2018-02-15,40.67802429199219,73.08799743652344,54.194217681884766,178.85739135742188,85.62207794189453
2018-02-16,40.54634094238281,72.43450164794922,54.39979553222656,176.2733154296875,85.01217651367188
2018-02-20,40.40994644165039,73.4175033569336,54.80153274536133,174.9315948486328,85.67750549316406
2018-02-21,40.226539611816406,74.14600372314453,55.30604553222656,176.81996154785156,84.54093170166016
2018-02-22,40.562808990478516,74.26699829101562,55.114864349365234,177.89334106445312,84.76270294189453
2018-02-23,41.26824188232422,75.0,56.01813888549805,182.1669921875,86.91572570800781
2018-02-26,42.08420181274414,76.09750366210938,56.79329299926758,183.7969512939453,88.17241668701172
2018-02-27,41.94782257080078,75.5989990234375,55.49276351928711,180.34820556640625,87.04508972167969
2018-02-28,41.884315490722656,75.62249755859375,54.81791305541992,177.22743225097656,86.64775085449219
2018-03-01,41.15066909790039,74.67250061035156,53.20355224609375,174.86204528808594,85.79763793945312
2018-03-02,41.43519973754883,75.01249694824219,53.835693359375,175.53787231445312,85.9824447631836
2018-03-05,41.578636169433594,76.18049621582031,54.3630485534668,179.2947235107422,86.52763366699219
2018-03-06,41.543365478515625,76.88200378417969,54.667945861816406,178.67849731445312,86.23194885253906
2018-03-07,41.1577262878418,77.25,55.3701057434082,182.5844268798828,86.73091888427734
2018-03-08,41.606849670410156,77.59300231933594,56.08219909667969,181.2228240966797,87.25762176513672
2018-03-09,42.32170104980469,78.94450378417969,57.6444206237793,184.0950927734375,89.2073745727539
2018-03-12,42.73085403442383,79.91950225830078,57.897178649902344,183.62799072265625,89.41989135742188
2018-03-13,42.31935119628906,79.40899658203125,56.6050910949707,180.76564025878906,87.23914337158203
2018-03-14,41.959571838378906,79.55000305175781,57.0510139465332,183.06146240234375,86.72166442871094
2018-03-15,42.008949279785156,79.11599731445312,57.13642120361328,182.73348999023438,87.02660369873047
2018-03-16,41.86081314086914,78.58399963378906,56.33246994018555,183.95594787597656,87.41470336914062
2018-03-19,41.221214294433594,77.24649810791016,54.62673568725586,171.5027313232422,85.83460235595703
2018-03-20,41.20710754394531,79.32550048828125,54.41469955444336,167.1197509765625,86.05635833740234
2018-03-21,40.2735710144043,79.09300231933594,54.3253173828125,168.35214233398438,85.45576477050781
2018-03-22,39.70451736450195,77.24600219726562,52.29680252075195,163.87974548339844,82.97003936767578
2018-03-23,38.78509521484375,74.77799987792969,50.975914001464844,158.4134063720703,80.5583267211914
2018-03-26,40.62629318237305,77.79299926757812,52.343482971191406,159.07931518554688,86.65697479248047
2018-03-27,39.5845947265625,74.85250091552734,50.00212860107422,151.28736877441406,82.67436981201172
